H6,L1,L2,L6,L5
L1,L1,L5,H1,H7
L2,L7,L7,L1,H7
L4,L6,L4,H5,L6
L6,L3,L3,H3,L8
L7,L10,L10,L5,H1
H3,L10,L7,L7,L4
H5,L7,H7,L1,L7
L10,L8,L8,L5,L3
H7,H2,L6,L8,H3
H2,L8,H4,H6,L5
H1,L1,H6,L9,L10
H6,L4,L8,L8,H2
H4,L8,L3,H3,L3
L2,H7,L9,L9,H7
L9,H2,L2,L4,H1
L3,L3,L4,L7,L8
H2,L4,H2,L6,H6
L3,H4,H3,H6,L9
H5,H5,H3,L2,BS
L8,L7,H3,L7,H3
L6,BS,H7,L9,L1
L8,H6,L10,L1,L2
L9,L6,L4,L10,L1
L1,H4,L1,H4,H5
L9,L9,L3,ES,H3
L7,H6,H7,L3,H4
L1,L4,L9,L5,H2
H1,H3,H5,L8,L2
L10,L9,H2,L2,H4
L6,L6,L7,H4,M
L1,L5,L8,H1,H7
H6,L8,H4,H2,H6
H5,L4,L5,L9,L6
H4,L7,L2,L1,L5
L1,L5,H5,L2,H5
L2,L1,L10,L4,L2
L3,L5,L1,H6,L5
H4,L2,BS,L4,L8
H4,L8,H1,L2,L7
H6,L5,L7,L6,L4
L3,L6,H1,L10,L5
L7,H1,L1,BS,H6
H3,ES,L9,H7,L9
H2,L7,L6,L8,L7
H5,L10,L4,L5,L9
L10,H7,L9,H6,L5
H3,L2,L9,L9,L8
H3,H3,L5,L6,L7
L5,L2,H1,H3,L5
H1,H4,H1,BS,L7
L7,H7,L6,H1,L1
BS,H6,L3,H4,L10
L8,L3,H2,L7,L10
L5,L10,H2,L3,L4
H2,H7,H3,H5,H5
L3,H1,L9,L10,H4
L2,H6,H4,H1,L8
L4,H6,L6,L4,L4
H3,H3,L4,H4,L9
L7,H2,H5,L10,H1
L7,L4,L10,H3,H1
H1,L6,L6,H4,H4
L5,L2,L2,L7,L2
H7,H7,H1,L10,L4
L8,L7,L5,L9,L10
L7,L3,H5,L2,L8
L9,H1,L6,H2,H6
H7,L3,L1,L9,L6
H7,L8,L8,L6,L9
L8,H3,H5,L8,L1
L10,H2,H7,H2,L3
L5,L9,L10,H1,H7
L9,H5,H3,H7,L7
H4,H5,H6,L6,L7
L10,H3,H6,H7,H2
L9,L6,L7,ES,H1
L4,H1,H7,L4,L6
H5,L10,L10,H7,L3
L6,L8,L2,M,L9
L8,L9,L5,H2,H3
L8,L9,BS,H5,L6
M,L2,H6,L8,H6
L6,H5,L10,H6,H5
H7,H1,M,L3,H5
L10,ES,L7,H3,L10
L2,H2,H2,H2,H2
L6,L5,H4,H5,L9
H1,H4,L5,L7,L4
L5,L5,L8,L7,L10
L5,L10,L4,H7,H3
L4,M,L8,L10,BS
H2,L9,L3,L10,L8
L4,H5,H6,L5,H2
L9,BS,L1,L3,L2
L10,L7,L9,L3,L6
H6,H4,L8,L8,L10
BS,L10,H4,L5,L1
L4,L9,L7,H5,L3
L5,L1,L5,L1,H4
