M,L7,L7,H7,H1
L4,L5,H3,L2,H3
M,L9,H7,H7,L10
H6,H4,L1,L4,H6
H4,H6,L5,L10,H4
L3,L10,H4,L3,L7
L10,H5,H6,L2,H2
H3,H3,H1,L9,H2
L7,L9,L1,H5,H1
L9,H7,H4,H7,H3
L2,L8,M,L9,L5
M,H6,L10,H1,H7
M,M,L9,M,H7
H5,H4,H3,L8,M
H4,L9,H5,H3,H4
H5,M,L10,H6,H6
L6,M,H1,H1,L9
M,H6,H7,L7,L8
L3,L7,H6,L4,H7
L7,H7,L8,H3,L1
H2,M,L4,L5,M
L5,H3,H7,L2,H4
H6,H7,L9,L9,L6
H6,L1,H5,L5,L4
L1,H4,L7,L9,H5
H1,H2,H1,L6,L10
L4,L7,H7,H1,L8
H6,L3,H6,H4,M
L10,H5,H4,H5,L8
H3,M,L8,L1,H1
H1,H1,H2,H6,H2
L10,H2,H4,L4,H5
H1,M,H2,H4,H3
H7,M,H7,M,L10
H7,H5,L2,H6,H3
L6,H3,H2,L9,H1
H3,H1,H4,H1,L7
L9,H2,L8,L8,M
L6,H6,L9,H2,H6
H6,H7,H4,L7,M
L4,H7,L6,H7,H3
H3,H5,L5,L6,H2
M,H1,L7,H5,H5
H5,H6,L8,H3,H5
L1,H7,M,H5,L6
L10,H6,H1,L8,L6
L8,H3,L2,H3,L9
L8,L9,M,M,H5
H7,H1,L5,L10,H2
L9,H5,H3,H2,L3
M,H7,H5,H3,L10
M,L6,H2,H1,M
H3,M,H5,L7,H7
H5,H2,H6,L10,L3
H7,M,M,L8,H1
H1,L1,H3,H4,H4
L8,L10,M,H6,L5
H7,L5,H1,L7,H5
H2,H6,L6,L6,H6
L1,H4,H7,L3,L2
H5,H1,L4,H5,L8
H2,H1,M,H6,L4
L9,L10,H6,H2,H7
L5,L8,L7,H4,M
L3,L7,H2,H7,H1
L7,H5,H5,M,L1
M,H1,H2,L8,L7
H2,H4,H1,L1,H6
L8,L8,M,L10,H7
H4,L7,L10,L1,L7
H7,L3,H5,M,L9
H5,L5,L1,L3,H6
L2,L2,H5,H2,M
H2,L6,M,H1,H2
L7,L10,L6,H7,L6
H1,L1,L7,L10,L10
M,L8,H2,H2,L5
H2,L5,H6,H3,H5
H4,L10,H3,H2,H1
H7,L4,L5,M,L8
H6,H3,L8,H4,L1
H1,L6,L4,H7,L2
L7,L4,L9,L5,H2
H5,H3,H3,H3,M
L2,L3,H6,H1,M
H6,L8,L3,H4,H3
H3,L6,M,H6,L3
M,L9,M,H5,H3
L5,M,L10,H5,L4
H3,L2,L9,H4,L9
H4,H3,H4,M,L2
H4,H2,L3,H6,H4
L8,H2,H3,M,H4
H4,H2,L10,L7,L5
H1,L2,M,M,H4
L6,H4,H1,M,M
H2,L4,L2,L5,H7
L5,H5,H7,M,L7
L10,H4,L6,H2,L9
L9,M,L3,L6,H6
