H3,L4,H2,L4,C3
L4,H6,H4,L9,L7
L7,H6,H5,H7,H2
L7,L7,H5,H1,H6
H2,H7,H4,H2,L2
L9,C1,L6,L7,L6
L6,H4,H3,L3,L4
C3,C3,L4,C1,L4
H1,H7,L3,L3,L3
H7,H5,H1,L10,L6
H3,H5,H6,L8,C3
H5,L4,H1,L2,H2
H1,L8,L10,L1,L10
H6,L8,L6,C1,H7
H4,C1,H7,L6,L8
H7,W,L7,W,H1
L3,H1,H1,L9,H2
L10,L7,L9,L4,L9
H1,L3,C1,H2,L9
W,L1,L3,H2,H7
H3,H3,L3,H4,L4
L5,L5,W,L9,H3
H7,W,L5,H2,C1
H4,L6,L8,L10,H5
L2,H3,H5,H7,L6
L1,L3,L5,W,H4
L6,H2,L5,L7,H1
H2,H7,H3,W,H1
L1,H5,L5,L4,L8
L10,L6,L7,C3,L8
L9,L2,H1,H5,H6
L10,L6,L8,H1,L9
W,H3,L4,L5,L3
L9,C2,L7,H5,L3
H5,L2,H2,L5,L8
W,L5,H5,W,H6
H2,H3,H5,H6,H5
C1,L1,H4,C2,L6
W,H2,L1,L8,H3
H6,H7,H4,H3,L9
L3,H6,H7,H1,L2
L6,L9,C3,H1,H1
L5,H4,L1,H2,C2
W,L8,L4,H5,H7
C2,H2,H3,L8,H2
L8,H1,H6,L8,L10
H4,L7,H1,H1,H4
H6,L2,H3,C1,L5
L9,H4,H4,H4,L10
H5,L10,W,L4,H5
H4,W,H7,H6,L5
L6,H4,H4,L6,L6
C3,L4,L6,H3,W
L4,H6,L6,L6,H3
H2,H6,H6,H6,L7
H1,L9,W,H1,H7
H3,L10,L8,C3,H6
L5,L4,L2,L3,L2
H5,H1,L8,H4,H6
L8,L9,H2,C2,H4
C1,L5,L9,H3,H4
L6,C3,L9,L10,C1
L2,H5,C1,L1,L8
L4,H5,L3,H5,L10
L10,H6,C2,L10,W
L2,H2,L7,H7,W
H5,C2,H1,H7,H1
H1,H1,H3,H6,L7
C2,L9,C2,H5,C2
L8,W,L10,H7,L4
H2,L7,W,H4,H2
H4,H7,C1,H4,H3
L8,H7,L7,H7,C1
L5,H4,L2,H5,H5
H7,L10,L10,C3,L10
L10,L3,L9,H3,H4
H7,L10,H2,L6,H1
L3,H4,L9,L5,H2
C3,H3,C3,L3,L5
H2,L8,H7,L9,W
H6,L9,L2,L6,C3
L7,L8,L10,L9,H3
C2,H2,C3,H3,H7
L4,L3,L8,H6,L3
L9,L10,L4,H3,L1
H5,C2,L6,L7,L1
H4,H5,L10,W,L5
H6,L6,H5,L8,L9
H7,W,H2,L5,W
C1,L5,H7,L2,H5
H1,H1,H7,L1,L7
H3,L5,H6,L5,L5
H6,C1,C2,C2,L1
L5,H2,H6,H6,C2
L7,H3,L5,H2,H5
L1,L7,H2,L2,H7
H3,L6,W,L7,H4
L7,H1,H3,L7,L7
L8,L1,L1,H4,H6
L3,C3,H6,L10,H3
